"Record ID","Business Name","Email Address","Business Address 1","Business Address 2","Business City","Business State","Business ZIP","Telephone #","License","Client ID","Last User","Created By User","Updated","Created"
"JTR Caregivers LLC","JTR Caregivers LLC","t.rea@comcast.net jeff@helpinghandsherbal.com","5735 Arapahoe Avenue","Unit B-1","Boulder","CO","80303",,"Grower: 403R-00312, ","CannaLIMSJTR Caregivers LLCClientID","Jessica Reedy<jreedy@phytatech.com>","Sarah Otis<sarahotis68@gmail.com>",7/6/15 12:45 PM,5/28/15 12:37 PM
"Golden Barn LLC","Golden Barn LLC","""Brandon McKee"" <brandon@goldenbarn.com>,  ""Golden Barn"" <global@goldenbarn.com>,  ""David Cavalier"" david@goldenbarn.com","3601 East Platte Ave",,"Colorado Springs","CO","80909",,"MIPS: 404-00373, ","CannaLIMSGolden Barn LLCClientID","Jessica Reedy<jreedy@phytatech.com>","Sarah Otis<sarahotis68@gmail.com>",7/6/15 12:45 PM,5/28/15 12:12 PM
"Fox Street Wellness LLC","Fox Street Wellness LLC","manny@altaicolorado.com mark@altaicolorado.com,  andrew@altaicolorado.com","4773 Fox Street Denver, CO",,"Denver","CO","80216",,"Grower: 403R-00249, Grower: 403-01217, ","CannaLIMSFox Street Wellness LLCClientID","Jessica Reedy<jreedy@phytatech.com>","Sarah Otis<sarahotis68@gmail.com>",7/6/15 12:45 PM,5/28/15 11:35 AM
"Organic Alternatives","Organic Alternatives","maka@organicalternatives.com,  oaextracts@gmail.com,  Jdgarrickfc@gmail.com,  aaron@organicalternatives.com, kmscramstad@gmail.com>,  steve@organicalternatives.com","337 Hickory Street",,"Fort Collins","CO","80524",,"Grower: 403R-00291, MIPS: 404R-00061, MIPS: 404-00333, ","CannaLIMSOrganic AlternativesClientID","Jessica Reedy<jreedy@phytatech.com>","Sarah Otis<sarahotis68@gmail.com>",7/6/15 12:43 PM,5/27/15 11:51 AM
"Revtec LLC","Revtec LLC","rclifford@revtecco.com","2145 West Evans Ave",,"Denver","CO","80223","914-260-9926","MIPS: 404R-00024, ","CannaLIMSRevtec LLCClientID","Stephen Goldman<sgoldman@phytatech.com>","Sarah Otis<sarahotis68@gmail.com>",7/29/15 1:52 PM,5/27/15 11:10 AM
"Cold Baked LLC","Cold Baked LLC","coldbaked@gmail.com","511 North 30th Street",,"Colorado Springs","CO","80904",,"MIPS: 404-00345, ","CannaLIMSCold Baked LLCClientID","Stephen Goldman<sgoldman@phytatech.com>","Stephen Goldman<sgoldman@phytatech.com>",5/26/15 3:53 PM,5/26/15 3:53 PM
"Urban Cannabis","Urban Cannabis","Danearl0817@gmail.com","2480 49th Street","Suite F1","Boulder","CO","80301",,"MIPS: 404R-00069, ","CannaLIMSUrban CannabisClientID","Jessica Reedy<jreedy@phytatech.com>","Sarah Otis<sarahotis68@gmail.com>",7/6/15 12:42 PM,5/26/15 12:50 PM
"The Green Solution","The Green Solution",,"2600 West Barberry Place",,"Denver","CO","80204",,"Grower: 403-00179, Grower: 403R-00017, Grower: 403R-00018, Grower: 403R-00019, ","CannaLIMSThe Green SolutionClientID","Sarah Otis<sarahotis68@gmail.com>","Sarah Otis<sarahotis68@gmail.com>",5/26/15 11:04 AM,5/26/15 11:04 AM
"Conscious Confections (Native Roots)","Conscious Confections (Native Roots)","rhandi@nativeroots303.com","680 Lipan Street","Suite 101","Denver","CO","80204",,"MIPS: 404R-00006, MIPS: 404-00172, ","CannaLIMSConscious Confections (Native Roots)ClientID","Sarah Otis<sarahotis68@gmail.com>","Sarah Otis<sarahotis68@gmail.com>",5/26/15 8:57 AM,5/26/15 8:57 AM
"CC Foods Inc","CC Foods Inc","nick@tclabsco.com","4495 North Washington Street",,"Denver","CO","80216",,"MIPS: 404R-00071, ","CannaLIMSCC Foods IncClientID","Stephen Goldman<sgoldman@phytatech.com>","Stephen Goldman<sgoldman@phytatech.com>",5/26/15 8:33 AM,5/26/15 8:33 AM
"Prisy & Associates","Prisy & Associates","petershuldiner@gmail.com","1602 W. Colorado Avenue",,"Colorado Springs","CO","80904",,"Retailer: 402-00083, ","CannaLIMSPrisy & AssociatesClientID","Sarah Otis<sarahotis68@gmail.com>","Sarah Otis<sarahotis68@gmail.com>",5/23/15 1:17 PM,5/23/15 1:17 PM
"THChocolate LLC (EvoLab)","THChocolate LLC (EvoLab)","lab@evolab.com","5221 Monroe St","Suite 205","Denver","CO","80216",,"MIPS: 404R-00066, MIPS: 404-00048, ","CannaLIMSTHChocolate LLC (EvoLab)ClientID","Sarah Otis<sarahotis68@gmail.com>","Sarah Otis<sarahotis68@gmail.com>",6/11/15 8:37 AM,5/22/15 3:48 PM
"Infuzionz, LLC (The Green Solution)","Infuzionz, LLC (The Green Solution)","esidener@stypearmored.com","2601 West Alameda Avenue",,"Denver","CO","80219",,"MIPS: 404R-00003, MIPS: 404-00329, : 403R-00021, ","CannaLIMSInfuzionz, LLC (The Green Solution)ClientID","Rob Howland<rhowland@phytatech.com>","Sarah Otis<sarahotis68@gmail.com>",6/29/15 11:53 AM,5/22/15 3:00 PM
"Kazimer LLC","Kazimer LLC","gavin.terry09@gmail.com","1233 West Alameda Avenue",,"Denver","CO","80223",,"Grower: 403R-00087, ","CannaLIMSKazimer LLCClientID","Sarah Otis<sarahotis68@gmail.com>","Sarah Otis<sarahotis68@gmail.com>",5/22/15 11:45 AM,5/22/15 11:45 AM
"RJJ Edgewater LLC","RJJ Edgewater LLC",,"5610 West 20th Avenue",,"Edgewater","CO","80214",,"Retailer: 402R-00335, ","CannaLIMSRJJ Edgewater LLCClientID","Sarah Otis<sarahotis68@gmail.com>","Sarah Otis<sarahotis68@gmail.com>",5/22/15 10:07 AM,5/22/15 10:07 AM
"Health Depot LLC (Sticky Buds)","Health Depot LLC (Sticky Buds)","gm@stickybuds5280.com","2219 South Jason Street",,"Denver","CO","80223",,"Grower: 403R-00314, ","CannaLIMSHealth Depot LLC (Sticky Buds)ClientID","Jessica Reedy<jreedy@phytatech.com>","Sarah Otis<sarahotis68@gmail.com>",7/6/15 12:41 PM,5/22/15 9:13 AM
"Delta 9 Alternative Medicine (Sticky Buds)","Delta 9 Alternative Medicine (Sticky Buds)","stickybuds2262@gmail.com","2219 South Jason Street",,"Denver","CO","80223",,"Grower: 403R-00132, ","CannaLIMSDelta 9 Alternative Medicine (Sticky Buds)ClientID","Sarah Otis<sarahotis68@gmail.com>","Sarah Otis<sarahotis68@gmail.com>",5/22/15 8:51 AM,5/22/15 8:38 AM
"Wanna LLC (Sticky Buds)","Wanna LLC (Sticky Buds)","Transport@stickybuds.com","South Acoma St.",,"Denver","CO","80223",,"Grower: 403R-00131, ","CannaLIMSWanna LLC (Sticky Buds)ClientID","Sarah Otis<sarahotis68@gmail.com>","Sarah Otis<sarahotis68@gmail.com>",5/22/15 8:05 AM,5/22/15 8:05 AM
"Left Bank LLC (Dixie)","Left Bank LLC (Dixie)","<Jwilliams@dixieelixirs.com>,  JDenniston@dixieelixirs.com, <TGarston@dixieelixirs.com>,","4990 Oakland Street",,"Denver","CO","80239",,"MIPS: 404R-00010, MIPS: 404-00036, ","CannaLIMSLeft Bank LLC (Dixie)ClientID","Jessica Reedy<jreedy@phytatech.com>","Sarah Otis<sarahotis68@gmail.com>",7/6/15 12:40 PM,5/21/15 1:33 PM
