"Record ID","Batch ID","BusinessNameLookup","Cannabinoids Customer View","Data Input Into METRC","Date Accepted","Date Destroyed","Dry Mass","Hide Potential Cannabinoids On Reports","License Number","Manifest ID","METRC Number","Notes","Package Amount","Product Name","Product Type","Report Approval","Report Generation","ResidualSolvents Customer View","Rush Order","Sample ID","none","Sample Mass","Sub Sample Mass Cannabinoids","Sub Sample Mass Residual Solvents","Sub Sample Mass Terpenes","Storage Location","Terpenes Customer View","Test Completion","Tests To Perform","Unused Product Mass","Weighboat","Wet Mass","Created By User","Created"
"206405","GB 8-14-15","The Dandelion (Native Roots)",,,"8/26/2015",,"1.5871","True","403R-00479","476912","1A400031266EFBF000000677",,,"Mother's Milk","Flower",,,,,"206405",,1,,,,"S4-F12",,,"Potency",,,"1.6092","Sarah Otis<sarahotis68@gmail.com>","8/26/15 2:41 PM"
"206404","R8342","Left Bank LLC (Dixie)",,,"8/26/2015",,,,"404R-00010","479183","1A400031268748A000008347",,,"Kind Bar","Solid Edible",,,,"True","206404",,1,,,,"S4-I17",,,"Homogeneity",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 11:52 AM"
"206403","R8334, DDN-08.19.15-A","Left Bank LLC (Dixie)",,,"8/26/2015",,,,"404R-00010","479183","1A400031268748A000008346",,29.5,"Dew Drops - Natural","Liquid Edible",,,,,"206403",,1,,,,"S4-I17",,,"Homogeneity",1,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 11:50 AM"
"206402","R1292","Left Bank LLC (Dixie)",,,"8/26/2015",,,,"404R-00010","479183","1A400031268748A000011295",,,"Strainwise Hybrid #2","Concentrate",,,,,"206402",,0.5,,,,"S4-I17",,,"Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 11:49 AM"
"206401","031715-C","TR Scientific LLC",,,"8/26/2015",,,,"404R-00015","479404","1A400031268748F000001166",,,"Mob Boss Decarb","Concentrate",,,,"True","206401",,1.5,,,,"S6",,,"Potency, Residual Solvents, Terpenes",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 11:39 AM"
"206400","052615-A","TR Scientific LLC",,,"8/26/2015",,,,"404R-00015",,"1A400031268748F000001165",,,"OG Sky Decarb","Concentrate",,,,"True","206400",,1.5,,,,"S6",,,"Potency, Residual Solvents, Terpenes",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 11:38 AM"
"206399","042615-M","TR Scientific LLC",,,"8/26/2015",,,,"404R-00015","479404","1A400031268748F000001161",,,"Tri Kush + Orange Sour Dub Decarb","Concentrate",,,,"True","206399",,1.5,,,,"S6",,,"Potency, Residual Solvents, Terpenes",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 11:37 AM"
"206398","072115-D","TR Scientific LLC",,,"8/26/2015",,,,"404R-00015","479404","1A400031268748F000001160",,,"White Glass Slipper Decarb","Concentrate",,,,"True","206398",,1.5,,,,"S6",,,"Potency, Residual Solvents, Terpenes",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 11:36 AM"
"206397","082115-J","TR Scientific LLC",,,"8/26/2015",,,,"404R-00015","479404","1A400031268748F000001398",,,"A.R.C. Wax","Concentrate",,,,"True","206397",,1.1,,,,"S6",,,"Potency, Residual Solvents, Terpenes",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 11:34 AM"
"206396","082115-I","TR Scientific LLC",,,"8/26/2015",,,,"404R-00015","479404","1A400031268748F000001396",,,"Wifi Wax","Concentrate",,,,"True","206396",,1.1,,,,"S6",,,"Potency, Residual Solvents, Terpenes",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 11:33 AM"
"206395","082115-E","TR Scientific LLC",,,"8/26/2015",,,,"404R-00015","479404","1A400031268748F000001394",,,"Tahoe Headband Wax","Concentrate",,,,"True","206395",,1.1,,,,"S6",,,"Potency, Residual Solvents, Terpenes",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 11:32 AM"
"206394","082115-F","TR Scientific LLC",,,"8/26/2015",,,,"404R-00015","479404","1a400031268748f000001392",,,"A.R.C. Wax","Concentrate",,,,"True","206394",,1.1,,,,"S6",,,"Potency, Residual Solvents, Terpenes",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 11:31 AM"
"206393","082115-B","TR Scientific LLC",,,"8/26/2015",,,,"404R-00015","479404","1A400031268748F000001390",,,"Bubba Glue Wax","Concentrate",,,,"True","206393",,1.1,,,,"S6",,,"Potency, Residual Solvents, Terpenes",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 11:29 AM"
"206392","081815-F","TR Scientific LLC",,,"8/26/2015",,,,"404R-00015","479404","1A400031268748F000001388",,,"Goat Fuel Wax","Concentrate",,,,"True","206392",,1.1,,,,"S6",,,"Potency, Residual Solvents, Terpenes",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 11:28 AM"
"206391","081715-Q","TR Scientific LLC",,,"8/26/2015",,,,"404R-00015","479404","1A400031268748F000001386",,,"Highwayman #9 Live Wax","Concentrate",,,,"True","206391",,1.1,,,,"S6",,,"Potency, Residual Solvents, Terpenes",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 11:27 AM"
"206390","082415-J","TR Scientific LLC",,,"8/26/2015",,,,"404R-00015","479404","1A400031268748F000001384",,,"Golden Goat","Concentrate",,,,"True","206390",,1.1,,,,"S6",,,"Potency, Residual Solvents, Terpenes",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 11:26 AM"
"206389","081715-R","TR Scientific LLC",,,"8/26/2015",,,,"404R-00015","479404","1A400031268748F000001382",,,"Lemon Flo Wax","Concentrate",,,,"True","206389",,1.1,,,,"S6",,,"Potency, Residual Solvents, Terpenes",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 11:25 AM"
"206388","082015-I","TR Scientific LLC",,,"8/26/2015",,,,"404R-00015","479404","1A400031268748F000001380",,,"Wifi Wax","Concentrate",,,,"True","206388",,1.1,,,,"S6",,,"Potency, Residual Solvents, Terpenes",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 11:24 AM"
"206387","082415-L","TR Scientific LLC",,,"8/26/2015",,,,"404R-00015","479404","1A400031268748F000001378",,,"Highwayman Wax","Concentrate",,,,"True","206387",,1.1,,,,"S6",,,"Potency, Residual Solvents, Terpenes",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 11:23 AM"
"206386","082515-B","TR Scientific LLC",,,"8/26/2015",,,,"404R-00015","479404","1A400031268748F000001376",,,"Orange Herijuana Live Resin","Concentrate",,,,"True","206386",,1.1,,,,"S6",,,"Potency, Residual Solvents, Terpenes",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 11:20 AM"
"206385","082115-K","TR Scientific LLC",,,"8/26/2015",,,,"404R-00015","479404","1A400031268748F000001374",,,"Tiger's Milk Wax","Concentrate",,,,"True","206385",,1.1,,,,"S6",,,"Potency, Residual Solvents, Terpenes",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 11:19 AM"
"206384","082115-P","TR Scientific LLC",,,"8/26/2015",,,,"404R-00015","479404","1A400031268748F000001372",,,"A.R.C. Wax","Concentrate",,,,"True","206384",,1.1,,,,"S6",,,"Potency, Residual Solvents, Terpenes",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 11:17 AM"
"206383","0821015-D","TR Scientific LLC",,,"8/26/2015",,,,"404R-00015","479404","1A400031268748F000001370",,,"Wifi Wax","Concentrate",,,,"True","206383",,1.1,,,,"S6",,,"Potency, Residual Solvents, Terpenes",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 11:16 AM"
"206382","052615-B","TR Scientific LLC",,,"8/26/2015",,,,"404R-00015","479404","1A400031268748F000001164",,,"Blue Dream Decarb","Concentrate",,,,"True","206382",,1.5,,,,"S6",,,"Potency, Residual Solvents, Terpenes",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 11:13 AM"
"206381","042415-E","TR Scientific LLC",,,"8/26/2015",,,,"404R-00015","479404","1A400031268748F000001163",,,"Girl Scout Thin Mint Decarb","Concentrate",,,,"True","206381",,1.5,,,,"S6",,,"Potency, Residual Solvents, Terpenes",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 11:12 AM"
"206380","051915-E","TR Scientific LLC",,,"8/26/2015",,,,"404R-00015","479404","1A400031268748F000001162",,,"Orange Ghost","Concentrate",,,,"True","206380",,1.5,,,,"S6",,,"Potency, Residual Solvents, Terpenes",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 11:11 AM"
"206379","14926","Infuzionz, LLC (The Green Solution)",,,"8/26/2015",,,,"404R-00003","479280","1A4000312687483000015086",,,"Twista Live Resin","Concentrate",,,,,"206379",,0.5,,,,"S4-I17",,,"Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 10:18 AM"
"206378","14802","Infuzionz, LLC (The Green Solution)",,,"8/26/2015",,,,"404R-00003","479280","1A4000312687483000014803",,,"Sativa B-Oil Cartridge","Concentrate",,,,,"206378",,1,,,,"S4-I17",,,"Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 10:16 AM"
"206377","14655","Infuzionz, LLC (The Green Solution)",,,"8/26/2015",,,,"404R-00003","479280","1A4000312687483000014656",,,"Hybrid B-Oil Cartridge","Concentrate",,,,,"206377",,1,,,,"S4-I17",,,"Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 10:15 AM"
"206376","14649","Infuzionz, LLC (The Green Solution)",,,"8/26/2015",,,,"404R-00003","479280","1A4000312687483000014650",,,"Indica B-Oil Cartridge","Concentrate",,,,,"206376",,1,,,,"S4-I17",,,"Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 10:14 AM"
"206375","14645","Infuzionz, LLC (The Green Solution)",,,"8/26/2015",,,,"404R-00003","479280","1A4000312687483000014646",,,"Hybrid B-Oil Cartridge","Concentrate",,,,,"206375",,1,,,,"S4-I17",,,"Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 10:13 AM"
"206374","14238","Infuzionz, LLC (The Green Solution)",,,"8/26/2015",,,,"404R-00003","479280","1A4000312687483000014239",,,"Hybrid Utility Oil","Concentrate",,,,,"206374",,0.5,,,,"S4-I17",,,"Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 10:10 AM"
"206373","PKG 0022","Mile High Wellness",,,"8/26/2015",,"1.6972","True","403R-00548","478881","1A400031266F004000000022",,,"Orange Kush","Flower",,,,,"206373",,1,,,,"S4-F12",,,"Potency",,,"1.727","Sarah Otis<sarahotis68@gmail.com>","8/26/15 9:11 AM"
"206372","PKG 0021","Mile High Wellness",,,"8/26/2015",,"1.6475","True","403R-00548","478881","1A400031266F004000000021",,,"Golden Goat","Flower",,,,,"206372",,1,,,,"S4-F12",,,"Potency",,,"1.6784","Sarah Otis<sarahotis68@gmail.com>","8/26/15 9:09 AM"
"206371","3265 8-25-15 #2","Herbal Medical Institute LLC",,,"8/26/2015",,,,"404-00348","478555","1A400050026875DC00003406",,59,"Greenkure Plus","Liquid Edible",,,,,"206371",,1,,,,"S4-I17",,,"Potency",1,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 9:05 AM"
"206370","1759 7-23-15 #1","Herbal Medical Institute LLC",,,"8/26/2015",,,,"404R-00077","478486","1A40003126874CD000002101",,59,"Green Dragon Elixir Retest","Liquid Edible",,,,,"206370",,1,,,,"S4-I17",,,"Homogeneity",1,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 9:02 AM"
"206369","1750 8-28-15 #2","Herbal Medical Institute LLC",,,"8/26/2015",,,,"404R-00077","478486","1A40003126874CD000002100",,59,"Green Dragon Elixir THC","Liquid Edible",,,,,"206369",,1,,,,"S4-I17",,,"Homogeneity",1,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 9:01 AM"
"206368","1881 8-25-15 #2","Herbal Medical Institute LLC",,,"8/26/2015",,,,"404R-00077","478486","1A40003126874CD000002099",,59,"Gold Dragon CBD","Liquid Edible",,,,,"206368",,1,,,,"S4-I17",,,"Homogeneity",1,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 8:58 AM"
"206367","0104 from 0050","EBBU LLC",,,"8/26/2015",,,,"404R-00119","478570","1A40003126874F7000000104",,,"Agent O Syringe","Concentrate",,,,,"206367",,0.5,,,,"S4-I17",,,"Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 8:54 AM"
"206366","0103 from 0097","EBBU LLC",,"8/26/2015","8/26/2015",,,,"404R-00119","478570","1A40003126874F7000000103",,,"RCC","Concentrate","8/26/2015","8/26/2015","Aug 26, 2015 4:54:37 pm",,"206366",,0.5,,,,"S6",,"8/26/2015","Residual Solvents",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 8:52 AM"
"206365","0102 from 0096","EBBU LLC",,"8/26/2015","8/26/2015",,,,"404R-00119","478570","1A40003126874F7000000102",,,"Green Crack","Concentrate","8/26/2015","8/26/2015","Aug 26, 2015 4:30:05 pm",,"206365",,0.5,,,,"S6",,"8/26/2015","Residual Solvents",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 8:51 AM"
"206364","0101 from 0095","EBBU LLC",,"8/26/2015","8/26/2015",,,,"404R-00119","478570","1A40003126874F7000000101",,,"Agent O","Concentrate","8/26/2015","8/26/2015","Aug 26, 2015 4:29:38 pm",,"206364",,0.5,,,,"S6",,"8/26/2015","Residual Solvents",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 8:50 AM"
"206363","0100 from 0097","EBBU LLC",,,"8/26/2015",,,,"404R-00119","478570","1A40003126874F7000000100",,,"RCC","Concentrate",,,,,"206363",,0.5,,,,"S4-I17",,,"Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 8:48 AM"
"206362","0099 from 0096","EBBU LLC",,,"8/26/2015",,,,"404R-00119","478570","1A40003126874F7000000099",,,"Green Crack","Concentrate",,,,,"206362",,0.5,,,,"S4-I17",,,"Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 8:45 AM"
"206361","0098 from 0095","EBBU LLC",,,"8/26/2015",,,,"404R-00119","478570","1A40003126874F7000000098",,,"Agent O","Concentrate",,,,,"206361",,0.5,,,,"S4-I17",,,"Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/26/15 8:42 AM"
"206360",,"XG Platinum Corp.  MIP-404R-00100","Aug 26, 2015 6:00:56 pm",,"8/25/2015",,,"True","404R-00100","478316","1A40003126874E4000000833",,,"Retail Wax","Concentrate","8/26/2015","8/26/2015",,,"206360",,1,,,,"s4-I17",,"8/26/2015","Potency",,,,"Stephen Goldman<sgoldman@phytatech.com>","8/25/15 4:18 PM"
"206359",,"XG Platinum Corp.  MIP-404R-00100","Aug 26, 2015 5:58:16 pm",,"8/25/2015",,,"True","404R-00100","478316","1A40003126874E4000000832",,,"Retail Wax","Concentrate","8/26/2015","8/26/2015",,,"206359",,1,,,,"s4-I17",,"8/26/2015","Potency",,,,"Stephen Goldman<sgoldman@phytatech.com>","8/25/15 4:17 PM"
"206358",,"XG Platinum Corp.  MIP-404R-00100","Aug 26, 2015 5:46:35 pm",,"8/25/2015",,,"True","404R-00100","478316","1A40003126874E4000000825",,,"Retail Budder Hash","Concentrate","8/26/2015","8/26/2015",,,"206358",,1,,,,"s4-I17",,"8/26/2015","Potency",,,,"Stephen Goldman<sgoldman@phytatech.com>","8/25/15 4:15 PM"
"206357",,"XG Platinum Corp.  MIP-404R-00100","Aug 26, 2015 5:45:56 pm",,"8/25/2015",,,"True","404R-00100","478316","1A40003126874E4000000839",,,"Retail Platinum PreRoll","Concentrate","8/26/2015","8/26/2015",,,"206357",,1,,,,"s4-I17",,"8/26/2015","Potency",,,,"Stephen Goldman<sgoldman@phytatech.com>","8/25/15 4:13 PM"
"206356",,"Revtec LLC",,,"8/25/2015",,,,"404R-00024","478346","1A4000312687498000003726",,,"Neos Cartridge","Concentrate",,,,,"206356",,1,,,,"s5",,,"Microbial Analysis",,,,"Stephen Goldman<sgoldman@phytatech.com>","8/25/15 4:09 PM"
"206355","08-19","The Green Solution",,,"8/25/2015",,"2.2552",,"403R-00019","476348","1A400031266EDF3000008100",,,"Black Russian","Flower",,,,,"206355",,1.67,,,,"s4-f12",,,"Potency, Terpenes",,,"2.3181","Sarah Otis<sarahotis68@gmail.com>","8/25/15 3:34 PM"
"206354","81715R1","THChocolate LLC (EvoLab)",,,"8/25/2015",,,,"404R-00066","478202","1A40003126874C2000004479",,,"Bwell Kush Terp Juice","Concentrate",,,,,"206354",,0.5,,,,"s4-i17",,,"Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/25/15 3:31 PM"
"206353","81715R1","THChocolate LLC (EvoLab)",,,"8/25/2015",,,,"404R-00066","478202","1A40003126874C2000004478",,,"Bwell Kush Dab 2","Concentrate",,,,,"206353",,0.5,,,,"s4-i17",,,"Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/25/15 3:30 PM"
"206352","81715R1","THChocolate LLC (EvoLab)",,,"8/25/2015",,,,"404R-00066","478202","1A40003126874C2000004477",,,"Bwell Kush Dab1","Concentrate",,,,,"206352",,0.5,,,,"s4-i17",,,"Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/25/15 3:29 PM"
"206351","81715R1","THChocolate LLC (EvoLab)",,,"8/25/2015",,,,"404R-00066","478202","1A40003126874C2000004469",,,"BWell Kush Vape","Concentrate",,,,,"206351",,0.5,,,,"s4-i17",,,"Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/25/15 3:25 PM"
"206350","82315AR1","THChocolate LLC (EvoLab)",,,"8/25/2015",,,,"404R-00066","478202","1A40003126874C2000004464",,,"Green Love Potion","Concentrate",,,,,"206350",,0.5,,,,"s4-i17",,,"Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/25/15 3:23 PM"
"206349","82415AR3","THChocolate LLC (EvoLab)",,,"8/25/2015",,,,"404R-00066","478910","1A40003126874C2000004460",,,"Topical Oil","Concentrate",,,,,"206349",,0.5,,,,"s4-i17",,,"Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/25/15 3:22 PM"
"206348","82415AR3","THChocolate LLC (EvoLab)",,,"8/25/2015",,,,"404R-00066","478202","1A40003126874C2000004457",,,"Chunky Diesel Vape","Concentrate",,,,,"206348",,0.5,,,,"s4-i17",,,"Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/25/15 3:20 PM"
"206347","82415AR2","THChocolate LLC (EvoLab)",,,"8/25/2015",,,,"404R-00066","478202","1A40003126874C2000004452",,,"Girl Scout Cookies Vape","Concentrate",,,,,"206347",,0.5,,,,"s4-i17",,,"Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/25/15 3:19 PM"
"206346","82415AR1","THChocolate LLC (EvoLab)",,,"8/25/2015",,,,"404R-00066","478202","1A40003126874C2000004447",,,"Nepal Vape","Concentrate",,,,,"206346",,0.5,,,,"s4-i17",,,"Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/25/15 3:18 PM"
"206345","82215R2","THChocolate LLC (EvoLab)","Aug 27, 2015 8:14:35 am","8/26/2015","8/25/2015",,,,"404R-00066","478202","1A40003126874C2000004443",,,"White Fire Vape2","Concentrate","8/26/2015","8/26/2015",,,"206345",,0.5,,,,"s4-i17",,"8/26/2015","Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/25/15 3:16 PM"
"206344","82215R1","THChocolate LLC (EvoLab)",,"8/26/2015","8/25/2015",,,,"404R-00066","478202","1A40003126874C2000004393",,,"Scott's OG","Concentrate","8/26/2015","8/26/2015",,,"206344",,0.5,,,,"s4-i17",,"8/26/2015","Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/25/15 3:15 PM"
"206343","82215R3","THChocolate LLC (EvoLab)","Aug 27, 2015 8:15:08 am","8/26/2015","8/25/2015",,,,"404R-00066","478202","1A40003126874C2000004391",,,"Super Skunk Vape2","Concentrate","8/26/2015","8/26/2015",,,"206343",,0.5,,,,"s4-i17",,"8/26/2015","Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/25/15 3:12 PM"
"206342","82115R1","THChocolate LLC (EvoLab)","Aug 27, 2015 8:15:02 am","8/26/2015","8/25/2015",,,,"404R-00066","478202","1A40003126874C2000004389",,,"Jilly's Cookies Vape2","Concentrate","8/26/2015","8/26/2015",,,"206342",,0.5,,,,"s4-i17",,"8/26/2015","Potency",,,,"Sarah Otis<sarahotis68@gmail.com>","8/25/15 3:10 PM"
